X,Y,Z
-2.1235086917877197,-2.2021403312683105,0.018059253692626953
-2.1572301387786865,-2.1903417110443115,0.04532051086425781
-2.1369967460632324,-2.225754737854004,0.04542279243469238
-2.119575262069702,-2.1647770404815674,0.03992772102355957
-2.1223838329315186,-2.052380084991455,0.012491226196289062
-2.166409730911255,-2.0481650829315186,0.039220213890075684
-2.140367269515991,-2.0858166217803955,0.045297980308532715
-2.1298770904541016,-1.9957116842269897,-0.007201671600341797
-2.171837091445923,-1.9891554117202759,0.04194056987762451
-2.1308133602142334,-1.946459412574768,0.03449046611785889
-2.052138328552246,-2.5988969802856445,0.017244935035705566
-2.089787483215332,-2.5949618816375732,0.04665935039520264
-2.0695607662200928,-2.6286919116973877,0.047148942947387695
-2.0594451427459717,-2.564624071121216,0.040547966957092285
-2.066189765930176,-2.331974983215332,0.009095191955566406
-2.1010327339172363,-2.3252310752868652,0.04239034652709961
-2.0729334354400635,-2.3668079376220703,0.04250335693359375
-2.0594451427459717,-2.2971270084381104,0.04255270957946777
-2.0788352489471436,-2.2364211082458496,0.04019045829772949
-2.0746207237243652,-2.1937079429626465,0.008279561996459961
-2.0611326694488525,-2.1616783142089844,0.04293692111968994
-2.103273391723633,-2.0706474781036377,0.04526996612548828
-2.0729334354400635,-2.047037363052368,0.03776729106903076
-2.059866189956665,-2.002150297164917,-0.012877106666564941
-2.0698022842407227,-1.9293619394302368,-0.007867574691772461
-2.1049671173095703,-1.916680932044983,0.04285085201263428
-2.0611326694488525,-1.8818362951278687,0.03782641887664795
-2.0127956867218018,-2.6326260566711426,0.043013572692871094
-1.990315556526184,-2.5904674530029297,0.013171076774597168
-2.0071747303009033,-2.542712926864624,0.009096980094909668
-2.0352776050567627,-2.5202362537384033,0.04260551929473877
-1.9959347248077393,-2.480893611907959,0.017244935035705566
-2.025722026824951,-2.4634692668914795,0.046257853507995605
-1.992000699043274,-2.443242311477661,0.046257853507995605
-2.031339168548584,-2.338716983795166,0.042665719985961914
-2.034158706665039,-2.2038235664367676,0.04314994812011719
-2.0008506774902344,-2.163374423980713,0.044064998626708984
-1.9854978322982788,-2.1320717334747314,0.007932186126708984
-2.027649164199829,-2.122438907623291,0.04327189922332764
-1.9987447261810303,-2.057401180267334,0.004440188407897949
-2.039212226867676,-2.0605318546295166,0.03776729106903076
-1.992000699043274,-1.9880317449569702,-0.017911076545715332
-1.998745322227478,-1.9273532629013062,-0.028152823448181152
-2.0071747303009033,-1.8697487115859985,0.0056040287017822266
-2.0290944576263428,-1.851481318473816,0.04585862159729004
-1.9846947193145752,-1.8276007175445557,0.04060399532318115
-1.9684038162231445,-2.608447790145874,0.04604804515838623
-1.93805730342865,-2.5713648796081543,0.040547966957092285
-1.9457629919052124,-2.529466390609741,0.01491701602935791
-1.9616607427597046,-2.4735846519470215,0.04067075252532959
-1.92457115650177,-2.5039267539978027,0.04653763771057129
-1.9289047718048096,-2.200697183609009,-0.004292488098144531
-1.9768297672271729,-2.1920249462127686,0.03788566589355469
-1.9414275884628296,-2.2358572483062744,0.04321897029876709
-1.9180667400360107,-2.127253770828247,-0.006038188934326172
-1.9380549192428589,-2.0689644813537598,-0.001495957374572754
-1.924991250038147,-1.9984620809555054,0.003239750862121582
-1.931312084197998,-1.9273532629013062,-0.012390375137329102
-1.9425504207611084,-1.8641277551651,-0.009335994720458984
-1.9200738668441772,-1.815885305404663,0.03761851787567139
-1.907717227935791,-2.5410268306732178,0.046414971351623535
-1.859061598777771,-2.2512807846069336,0.0009458065032958984
-1.9094003438949585,-2.2611546516418457,0.035614013671875
-1.8706234693527222,-2.2965633869171143,0.04355895519256592
-1.8650832176208496,-2.185044288635254,0.0009474754333496094
-1.8790514469146729,-2.136406898498535,0.037871599197387695
-1.85713529586792,-2.1532630920410156,0.037871599197387695
-1.8706234693527222,-2.1060516834259033,0.037871599197387695
-1.8685623407363892,-2.0659666061401367,0.0077381134033203125
-1.8874882459640503,-2.0040442943573,0.04029190540313721
-1.8498302698135376,-2.024289846420288,0.04003894329071045
-1.8672529458999634,-1.9829655885696411,0.03662455081939697
-1.859061598777771,-1.9309638738632202,-0.017098307609558105
-1.8751190900802612,-1.86225163936615,-0.014331817626953125
-1.8526389598846436,-1.8121297359466553,0.03765535354614258
-1.7851951122283936,-2.610135316848755,0.013171076774597168
-1.827346682548523,-2.5876588821411133,0.04291129112243652
-1.8031787872314453,-2.6320621967315674,0.045980215072631836
-1.793624758720398,-2.548330307006836,0.017244935035705566
-1.8234119415283203,-2.530911445617676,0.04662477970123291
-1.789690613746643,-2.510671854019165,0.04634499549865723
-1.783187747001648,-2.336789131164551,0.013170480728149414
-1.821725606918335,-2.331974983215332,0.04449009895324707
-1.8048639297485352,-2.362314224243164,0.04610288143157959
-1.7964352369308472,-2.298243999481201,0.04265129566192627
